Company,Year,ROA,zmijewski_t,MV_t4,BV_t,EARN_t,NEG_t,sentiment,words,pages,flesch,t_Community,t_Resources,t_Customers,t_Employees,t_Metholodgy,t_Governance,t_Climate,w_Community,w_Resources,w_Customers,w_Employees,w_Metholodgy,w_Governance,w_Climate
CAPITALAND INTEGRATED COMM TR,2018,0.058838847,-2.588971985,8885.43382,7429.3,676.745,0,17.2828,10235,25,5.045470272,0.111722959,0.163546825,0.086116632,0.203633136,0.140551601,0.186770546,0.107658301,1143.48448,1673.90175,881.4037321,2084.185147,1438.545637,1911.596541,1101.882713
CAPITALAND INTEGRATED COMM TR,2019,0.05940592,-2.683175221,6713.62328,7767.239,696.93,0,18.5756,11178,26,2.681032649,0.106452501,0.17392516,0.106669334,0.187983951,0.15576724,0.160666624,0.10853519,1189.926055,1944.135433,1192.34982,2101.284608,1741.166205,1795.931526,1213.206353
CAPITALAND INTEGRATED COMM TR,2020,0.01560551,-2.037260721,13847.30656,13067.938,349.819,0,17.90591837,19018,49,3.393517379,0.16228621,0.159823251,0.159758431,0.154305531,0.11852888,0.129070076,0.116227621,3086.35914,3039.518579,3038.285838,2934.582588,2254.182241,2454.654712,2210.416902
CAPITALAND INTEGRATED COMM TR,2021,0.047625237,-2.289544353,15002.19105,13695.7,1083.086,0,19.17844828,23933,58,9.646781976,0.157545359,0.186499024,0.149837893,0.125555983,0.070528688,0.148086335,0.161946718,3770.533074,4463.481134,3586.070303,3004.931336,1687.963079,3544.150267,3875.870808
CAPITALAND INVESTMENT LIMITED,2021,0.03583382,-1.846861033,21335.98,16440,1349,0,14.34232558,38318,86,12.02399697,0.068032121,0.145080374,0.083617549,0.15326366,0.144481828,0.180448923,0.225075545,2606.854817,5559.189773,3204.057254,5872.756905,5536.254704,6914.441827,8624.444719
CITY DEVELOPMENTS LIMITED,2015,0.038062153,-1.9514306,7529.014764,8995.792,773.367,0,16.22257426,42088,104,5.322188392,0.095855671,0.175258915,0.084676165,0.144664194,0.157863169,0.158851697,0.182830189,4034.373469,7376.297215,3563.850428,6088.626615,6644.14504,6685.750227,7694.957006
CITY DEVELOPMENTS LIMITED,2016,0.032995407,-2.067533526,9893.198144,9293.808,653.224,0,16.22257426,42088,104,5.322188392,0.096423254,0.175380908,0.086126622,0.143898709,0.157007483,0.159361662,0.181801362,4058.261928,7381.431636,3624.897252,6056.408867,6608.130946,6707.213629,7651.655741
CITY DEVELOPMENTS LIMITED,2017,0.026966075,-2.182857543,11520.84747,9391.282,522.179,0,16.52372549,45634,104,4.651503155,0.088270364,0.184169765,0.090760803,0.121267365,0.148389186,0.160655598,0.206486919,4028.129807,8404.403067,4141.778485,5533.914921,6771.592104,7331.357561,9422.824056
CITY DEVELOPMENTS LIMITED,2018,0.026684775,-2.103091992,8098.628609,10040.697,557.33,0,17.69666667,68001,123,4.783425865,0.082404377,0.191579012,0.081231943,0.129463511,0.157019207,0.11802086,0.240281091,5602.508796,13025.07384,5522.797315,8801.965172,10675.42184,8024.002226,16336.23081
CITY DEVELOPMENTS LIMITED,2019,0.024334903,-1.514235691,6946.863958,10520.25,564.576,0,20.79382114,60032,128,5.139690774,0.085828343,0.192517305,0.073849657,0.129933959,0.154621948,0.099735968,0.26351282,5150.473063,11552.77096,4431.644061,7797.206919,9278.708472,5985.05572,15813.14081
CITY DEVELOPMENTS LIMITED,2020,-0.080981875,-0.499805985,7218.934348,8502.208,-1917.391,1,22.39964286,68809,144,0.622773973,0.078151622,0.180200952,0.082180906,0.11997686,0.148601844,0.103691404,0.287196412,5377.53496,12399.44729,5654.785942,8255.487765,10225.14427,7134.901828,19761.69794
CITY DEVELOPMENTS LIMITED,2021,0.00408726,-0.887572576,7518.211777,8413.56,97.657,0,24.28227848,74335,164,4.947477945,0.083788698,0.168236703,0.070324699,0.114354666,0.153449931,0.105649097,0.304196207,6225.667812,12500.3235,5225.265772,8496.780418,11401.63674,7849.939221,22602.38654
COMFORTDELGRO CORPORATION LTD,2015,0.057876272,-2.193519014,6192.864,2335.1,301.9,0,13.41026316,18583,44,17.02695679,0.12267993,0.081842127,0.244846503,0.180167831,0.099854493,0.193866422,0.076742694,2279.761131,1520.87224,4549.98256,3348.058803,1855.59605,3602.619728,1426.109488
